caseid,age,childrern_number,level_of_education,first_language,health,marital_status,birth_country,born_parents,unable_to_play_rent,number_of_unions,more_than_one_job,work_hours_per_week,incmc
773,31.7,0,2,2,2,5,1,1,2,1,2,37.5,8
20494,15.7,0,5,2,1,5,1,1,7,0,7,NA,2
6010,77.2,4,5,2,3,4,1,1,2,1,7,NA,4
4117,52.3,3,3,2,4,1,1,1,2,1,2,17,NA
5531,49.5,1,5,2,2,1,1,1,2,1,2,8,NA
5553,62.1,1,5,2,4,1,1,1,2,1,7,NA,2
7374,55.7,2,2,2,3,1,1,1,2,1,2,40,7
18529,36.9,2,2,2,2,5,1,1,2,1,2,32.5,8
10474,41.8,0,1,4,3,5,1,1,2,2,2,25,NA
20619,39.9,2,5,2,1,5,1,3,2,1,7,NA,3
16981,50.7,2,2,2,2,3,1,1,1,1,1,50,9
18634,58.1,2,2,2,2,4,1,1,2,1,2,35,8
20497,56.1,2,2,2,3,1,1,3,2,1,2,30,5
11775,18.5,0,5,2,3,5,1,1,2,0,2,40,6
8094,21.1,0,3,2,1,5,1,1,2,0,7,NA,4
15294,70.6,2,1,2,3,1,1,1,2,2,7,NA,8
8838,59.3,5,2,2,1,3,1,1,2,2,2,31.3,10
7893,66.8,3,5,2,3,3,1,1,2,2,2,NA,7
3382,47.8,0,5,2,3,5,1,1,2,0,2,60,8
8948,49.3,1,2,2,2,5,1,1,2,2,2,40,10
9022,65.3,3,1,2,4,1,1,1,3,1,7,NA,7
16303,17.3,0,5,1,1,5,1,1,7,0,7,NA,1
9444,54,1,5,3,4,5,2,1,2,0,7,NA,5
16042,62.8,3,2,2,2,4,1,1,3,1,7,NA,10
11546,18.2,0,5,2,1,5,1,1,2,1,7,NA,1
16492,69.1,2,4,2,2,1,1,1,3,1,7,NA,6
5569,45.8,0,2,2,2,5,1,1,2,1,2,40,8
3267,46.4,2,3,2,1,1,1,1,2,1,2,42.5,11
8016,32.2,1,2,2,3,5,1,1,2,1,2,20,6
19015,62.9,4,4,2,3,3,1,1,2,2,7,NA,6
10872,55.8,2,1,3,3,1,2,1,2,1,2,40,10
14623,37.4,2,2,2,2,5,1,1,2,2,2,40,9
4792,15.6,0,5,2,3,5,1,1,7,0,7,NA,1
13139,80,6,5,1,1,4,1,1,2,1,7,NA,7
3862,30.3,0,1,2,1,5,1,1,2,1,2,40,7
18381,61.8,2,1,3,3,1,2,1,9,2,2,42,NA
11580,62.3,4,3,2,3,3,1,1,2,2,2,60,11
4583,62.3,1,5,2,3,1,1,1,2,1,2,20,5
12623,43.5,1,1,2,1,5,1,1,2,1,2,40,12
18792,22.2,0,5,2,3,5,1,1,2,1,2,10,3
1658,65.9,3,2,2,1,1,1,1,3,1,7,NA,4
12997,74.2,7,9,2,1,1,1,1,2,2,2,NA,NA
429,67.8,1,4,2,2,1,1,1,2,1,7,NA,7
18856,54.2,3,2,2,1,1,1,1,2,1,2,30,9
18996,52.9,1,2,2,1,4,1,1,2,1,2,40,10
7224,60.5,NA,8,4,3,9,1,1,2,0,7,NA,NA
290,27.1,0,4,1,2,5,1,1,2,2,2,35,7
21594,56,2,2,2,1,3,1,1,2,1,2,40,7
20704,21.6,0,2,2,1,5,1,1,2,1,2,35,6
13399,48.3,3,4,2,1,1,1,1,2,2,7,NA,10
20118,70.3,3,5,2,1,1,1,1,3,1,7,NA,4
7021,75.4,0,1,2,3,5,1,1,2,0,7,NA,7
21081,18.9,0,5,2,4,5,1,1,2,0,7,NA,3
7896,76,2,5,2,4,1,1,1,2,1,7,NA,4
10146,49.2,2,4,2,1,3,1,1,2,1,2,35,10
10715,20.8,0,2,2,2,5,1,1,2,0,2,40,3
4619,35.8,2,1,2,2,1,1,1,2,1,2,42,9
16079,18.6,0,5,2,1,5,1,1,2,0,2,40,3
3423,72.7,3,5,2,3,1,1,1,3,1,7,NA,NA
20213,49.2,1,2,2,2,3,1,1,2,3,2,40,NA
15727,77.9,3,5,2,1,1,1,1,2,1,7,NA,6
7189,47.1,3,1,2,2,1,1,3,3,1,2,24,10
6841,78.9,3,5,2,1,1,1,1,2,1,7,NA,7
21114,48.1,NA,5,2,4,3,1,1,2,3,2,40,7
7061,71.4,2,5,3,2,1,2,1,3,1,7,NA,NA
18667,30.3,0,5,2,3,5,1,1,2,1,2,40,7
4912,59.2,1,4,2,5,3,1,1,2,4,7,NA,7
12163,31.3,2,2,2,2,5,1,1,3,1,2,40,8
13028,40.8,1,5,2,2,3,1,1,2,2,2,35,8
17099,32.1,5,2,2,1,1,1,1,2,2,2,25,7
10776,18.3,0,4,2,3,5,1,1,9,0,2,20,2
6252,72.8,4,5,2,4,4,1,3,2,1,7,NA,NA
14565,51.9,1,2,2,1,3,1,1,2,1,2,40,11
4682,48.7,1,3,2,2,5,1,1,2,3,2,60,12
14207,20.8,0,2,2,1,5,1,1,2,0,2,10,3
5678,37,2,3,1,2,1,1,1,2,1,2,50,11
16670,18,0,5,2,1,5,1,1,9,1,7,NA,8
4350,57.5,2,3,2,3,1,1,1,2,2,7,NA,8
19693,60.1,3,2,2,5,1,1,1,2,1,2,32,NA
13037,44.7,3,2,2,2,1,1,1,2,1,2,37.5,12
21714,15.6,0,5,2,1,5,1,1,7,0,7,NA,1
13348,56,0,2,2,5,2,1,1,2,2,7,NA,5
948,33.7,0,1,3,2,5,2,1,2,0,2,45,11
10271,29.1,0,3,3,4,5,1,1,2,0,7,NA,3
19212,48.2,2,2,2,1,1,2,1,2,1,2,40,7
17413,55.8,2,2,2,4,3,1,1,1,1,2,37,6
6117,35.9,4,3,2,1,5,1,1,2,2,7,NA,2
6684,52.1,1,4,2,2,1,1,1,2,2,2,32.5,6
15512,52.2,1,4,2,2,1,1,1,2,1,2,35,7
6106,79.3,5,2,2,2,3,1,1,2,1,7,NA,NA
7729,70.6,2,2,2,5,1,1,1,2,1,7,NA,10
22066,49.8,2,2,2,3,2,1,1,3,1,2,NA,8
14408,53.6,5,4,2,2,2,1,1,2,2,2,40,7
11574,59.5,0,2,3,1,1,2,1,2,1,2,35,NA
2834,66.8,3,1,2,2,2,1,1,1,1,7,NA,4
3354,36.4,3,1,2,2,1,2,1,2,1,2,40,12
15807,80,0,1,2,4,4,1,1,2,1,7,NA,7
12606,67.9,4,1,1,1,1,1,1,2,1,2,24,10
21665,65.5,2,2,2,3,4,1,1,2,1,2,20,11
7747,76.9,2,2,2,4,1,1,1,3,1,7,NA,9
20997,61.1,2,5,2,2,1,1,1,2,1,7,NA,6
8594,46.2,0,5,2,4,5,1,1,1,0,7,NA,4
18744,61.8,1,5,2,3,1,1,1,3,2,2,40,12
10178,52,2,1,3,2,3,1,1,2,1,2,35,7
1254,65.4,2,3,2,2,1,1,1,2,2,7,NA,10
7506,16.8,0,5,2,2,5,1,1,7,0,2,10,2
13696,49.9,5,2,2,2,1,1,1,2,1,2,35,6
2103,62.1,2,2,2,3,1,1,1,3,1,2,25,6
7116,31.1,0,2,2,3,5,1,1,2,1,2,35,7
1802,64.8,0,5,2,3,5,1,1,2,1,7,NA,5
93,41.7,3,5,2,1,1,1,3,2,2,7,NA,1
4918,76.7,1,1,4,1,1,1,1,2,3,2,40,10
10570,50,0,1,1,3,5,1,1,2,1,2,50,12
9641,66.8,0,3,2,3,1,1,1,2,1,7,NA,9
16418,58.6,0,3,1,3,3,1,1,2,1,2,40,7
14639,30.1,3,4,2,4,5,1,3,2,0,7,NA,4
13676,38.9,3,2,2,3,5,1,1,2,1,2,37.5,8
711,80,1,5,2,4,4,1,1,2,1,7,NA,6
9883,60.5,0,1,2,2,5,1,1,2,0,7,NA,8
13692,66,3,1,2,1,1,1,1,3,1,7,NA,7
3660,39.5,2,1,3,3,1,2,1,2,1,7,NA,NA
9872,24.6,0,2,1,4,5,1,3,2,0,2,40,8
7028,50.8,1,2,3,2,1,2,1,2,1,2,40,7
243,80,3,5,2,5,1,1,1,3,1,7,NA,NA
